County,Statistic,CensusYear,Sex,Age Group,value
State,Population 2011 to 2016,2016,Both sexes,All ages,4761865.0
State,Population 2011 to 2016,2016,Both sexes,0 - 4 years,331515.0
State,Population 2011 to 2016,2016,Both sexes,5 - 9 years,355561.0
State,Population 2011 to 2016,2016,Both sexes,10 - 14 years,319476.0
State,Population 2011 to 2016,2016,Both sexes,15 - 19 years,302816.0
State,Population 2011 to 2016,2016,Both sexes,20 - 24 years,273636.0
State,Population 2011 to 2016,2016,Both sexes,25 - 29 years,297435.0
State,Population 2011 to 2016,2016,Both sexes,30 - 34 years,361975.0
State,Population 2011 to 2016,2016,Both sexes,35 - 39 years,389421.0
State,Population 2011 to 2016,2016,Both sexes,40 - 44 years,357460.0
State,Population 2011 to 2016,2016,Both sexes,45 - 49 years,326110.0
State,Population 2011 to 2016,2016,Both sexes,50 - 54 years,299935.0
State,Population 2011 to 2016,2016,Both sexes,55 - 59 years,270102.0
State,Population 2011 to 2016,2016,Both sexes,60 - 64 years,238856.0
State,Population 2011 to 2016,2016,Both sexes,65 - 69 years,211236.0
State,Population 2011 to 2016,2016,Both sexes,70 - 74 years,162272.0
State,Population 2011 to 2016,2016,Both sexes,75 - 79 years,115467.0
State,Population 2011 to 2016,2016,Both sexes,80 - 84 years,81037.0
State,Population 2011 to 2016,2016,Both sexes,85 years and over,67555.0
Carlow,Population 2011 to 2016,2016,Both sexes,All ages,56932.0
Carlow,Population 2011 to 2016,2016,Both sexes,0 - 4 years,4056.0
Carlow,Population 2011 to 2016,2016,Both sexes,5 - 9 years,4420.0
Carlow,Population 2011 to 2016,2016,Both sexes,10 - 14 years,4135.0
Carlow,Population 2011 to 2016,2016,Both sexes,15 - 19 years,3686.0
Carlow,Population 2011 to 2016,2016,Both sexes,20 - 24 years,3324.0
Carlow,Population 2011 to 2016,2016,Both sexes,25 - 29 years,3388.0
Carlow,Population 2011 to 2016,2016,Both sexes,30 - 34 years,4136.0
Carlow,Population 2011 to 2016,2016,Both sexes,35 - 39 years,4498.0
Carlow,Population 2011 to 2016,2016,Both sexes,40 - 44 years,4297.0
